Easting_km	Northing_km	LOS_mm
459.590174	4235.59627	1.054121
462.700506	4235.581336	-3.982687
465.19789	4235.686891	-7.263689
459.609882	4239.541455	2.334226
462.718697	4239.526517	-0.654797
459.629606	4243.486663	2.072292
462.736902	4243.471721	2.409754
465.538664	4239.597682	-4.356605
465.815023	4243.486027	-3.691602
388.6072	4248.016725	34.716398
388.914425	4251.966108	26.524588
391.320852	4248.0635	39.180171
394.426772	4248.022223	40.266808
391.374068	4252.008942	28.637443
394.478466	4251.967653	35.165429
391.427325	4255.954407	24.124347
394.530201	4255.913105	30.440766
391.480625	4259.899894	23.543596
394.581977	4259.858581	31.139588
391.752671	4263.729257	17.68427
394.633793	4263.804079	24.549488
392.168249	4267.690603	10.503813
394.68565	4267.749601	10.802496
397.532683	4247.982143	43.511141
400.638585	4247.94326	46.625197
397.582856	4251.927561	40.891614
400.687236	4251.888667	40.731169
403.744477	4247.905574	45.486424
406.850361	4247.869086	42.573273
403.791607	4251.85097	41.366603
406.89597	4251.81447	39.852783
397.633068	4255.873002	39.455127
400.735926	4255.834096	38.091987
397.68332	4259.818466	36.03233
400.784654	4259.779549	35.131849
403.838775	4255.796388	36.614098
406.941615	4255.759878	33.393338
403.885979	4259.74183	30.687977
406.987296	4259.705309	27.182762
409.956237	4247.833794	32.391045
413.062105	4247.799699	28.396735
410.000325	4251.779168	34.400377
413.104671	4251.745064	30.112881
416.167965	4247.766801	22.548907
419.273817	4247.735101	20.47055
416.20901	4251.712156	21.754075
419.313342	4251.680446	18.665923
410.044447	4255.724566	30.094067
413.147272	4255.690451	24.576973
410.088605	4259.669987	25.229895
413.189906	4259.635862	21.325927
416.250088	4255.657534	20.151807
419.352898	4255.625815	18.933468
416.291199	4259.602936	19.62959
419.392485	4259.571207	17.661909
397.733611	4263.763953	26.271222
400.833421	4263.725024	26.012901
397.783942	4267.709463	12.690281
400.882225	4267.670523	17.80032
403.933221	4263.687295	22.910746
407.033013	4263.650764	22.187276
403.9805	4267.632783	20.274265
407.042919	4267.486007	20.653119
410.132797	4263.615431	19.6555
413.232573	4263.581296	20.127453
410.132702	4267.200394	19.672127
