Easting_km	Northing_km	LOS_mm
406.139874	4217.91378	94.595097
406.919222	4217.90483	112.746686
406.151249	4218.90008	95.009834
406.930502	4218.89113	119.58909
407.698569	4217.895955	129.26355
408.477916	4217.887154	144.080386
407.709755	4218.882254	142.526388
408.489008	4218.873453	162.501484
409.235276	4215.905838	121.152043
410.01481	4215.897188	128.175229
409.246268	4216.892132	138.233304
410.025708	4216.883482	146.623045
410.794345	4215.888612	133.538574
411.573878	4215.880112	135.314018
410.805148	4216.874906	152.78931
411.584588	4216.866405	153.160125
409.257263	4217.878429	157.811761
410.036609	4217.869777	166.403621
409.26826	4218.864726	178.155601
410.047511	4218.856074	189.079732
410.815954	4217.861201	171.514273
411.595299	4217.852699	171.612889
410.826762	4218.847497	193.973601
411.606012	4218.838995	194.162786
412.706208	4212.415491	85.8991
414.265934	4212.398942	81.964344
412.727331	4214.388066	111.355975
414.286678	4214.371514	101.10499
415.825657	4212.382691	72.967365
417.385378	4212.366739	61.894462
415.846024	4214.355261	87.694712
417.405368	4214.339306	74.936748
412.748462	4216.360647	141.074926
414.307431	4216.344092	129.114255
412.374643	4217.844272	169.570357
413.153987	4217.835919	164.283067
412.385262	4218.830567	192.169011
413.164511	4218.822213	185.993746
413.93333	4217.827641	156.51232
414.712673	4217.819438	147.528946
413.94376	4218.813935	175.657839
414.723009	4218.805731	164.265439
415.866399	4216.327837	114.044964
417.425365	4216.31188	98.987728
415.492015	4217.811309	137.242228
416.271357	4217.803255	127.475262
415.502256	4218.797601	151.975602
416.281504	4218.789547	140.794247
417.050699	4217.795275	119.595543
417.830039	4217.78737	110.306039
416.86342	4218.536982	130.319238
417.253055	4218.53301	121.076018
416.868458	4219.030128	134.725869
417.25807	4219.026156	113.682121
417.64269	4218.529058	101.325795
418.032325	4218.525124	87.634236
417.647681	4219.022204	84.507763
418.037292	4219.018269	85.386194
421.23709	4207.396786	28.071411
427.479709	4207.338968	25.629934
419.734667	4213.329651	55.700734
422.85372	4213.299535	45.949265
418.984329	4216.296221	86.108863
420.543292	4216.280861	75.996742
419.003958	4218.268798	102.443375
420.562542	4218.253435	91.482595
422.891072	4217.244665	69.273517
427.549827	4215.229155	46.448853
406.162626	4219.886382	87.087169
406.941785	4219.877431	113.161393
405.976388	4220.628359	73.76729
406.365932	4220.623865	81.145793
405.98209	4221.121511	45.376241
406.37161	4221.117017	63.415974
406.755476	4220.619389	93.542993
407.14502	4220.614932	109.275497
406.761131	4221.112541	79.840221
407.150651	4221.108083	95.473185
407.523351	4219.624191	141.089261
407.912941	4219.619772	156.520382
407.528957	4220.117342	135.539949
407.918524	4220.112922	153.023422
408.500101	4219.859753	175.796717
407.534564	4220.610493	129.600003
407.924107	4220.606073	149.194807
407.540171	4221.103644	120.791122
407.929691	4221.099224	143.018216
408.313651	4220.601672	169.51175
408.703194	4220.59729	188.766345
408.319211	4221.094823	163.110405
408.708731	4221.09044	187.158272
406.185386	4221.85899	36.855806
406.766786	4221.605693	60.624581
